timestamp,open,high,low,close
2025-05-23,1.12803,1.13757,1.12785,1.13600
2025-05-22,1.13282,1.13450,1.12555,1.12791
2025-05-21,1.12823,1.13628,1.12787,1.13281
2025-05-20,1.12433,1.12858,1.12177,1.12822
2025-05-19,1.11737,1.12881,1.11711,1.12431
2025-05-16,1.11883,1.12196,1.11307,1.11640
2025-05-15,1.11763,1.12280,1.11700,1.11872
2025-05-14,1.11855,1.12658,1.11643,1.11749
2025-05-13,1.10878,1.11947,1.10868,1.11856
2025-05-12,1.12136,1.12428,1.10651,1.10880
2025-05-09,1.12268,1.12929,1.11964,1.12460
2025-05-08,1.13120,1.13362,1.12116,1.12261
2025-05-07,1.13721,1.13782,1.12914,1.13106
2025-05-06,1.13157,1.13811,1.12796,1.13715
2025-05-05,1.12990,1.13648,1.12968,1.13143
2025-05-02,1.12865,1.13810,1.12739,1.12952
2025-05-01,1.13253,1.13411,1.12655,1.12857
2025-04-30,1.13861,1.13994,1.13168,1.13253
2025-04-29,1.14202,1.14220,1.13698,1.13846
2025-04-28,1.13601,1.14250,1.13290,1.14198
2025-04-25,1.13849,1.13912,1.13155,1.13640
2025-04-24,1.13223,1.13980,1.13194,1.13857
2025-04-23,1.13651,1.14400,1.13072,1.13236
2025-04-22,1.15085,1.15473,1.13613,1.13623
2025-04-21,1.14072,1.15733,1.13900,1.15085
2025-04-18,1.13670,1.13980,1.13576,1.13913
2025-04-17,1.13965,1.14091,1.13349,1.13668
2025-04-16,1.12806,1.14127,1.12805,1.13970
2025-04-15,1.13531,1.13789,1.12638,1.12812
2025-04-14,1.13177,1.14246,1.12956,1.13522
2025-04-11,1.11918,1.14736,1.11918,1.13586
2025-04-10,1.09497,1.12414,1.09426,1.11888
2025-04-09,1.09564,1.10952,1.09130,1.09503
2025-04-08,1.09112,1.09918,1.08881,1.09565
2025-04-07,1.09148,1.10500,1.09007,1.09112
2025-04-04,1.10509,1.11076,1.09242,1.09573
2025-04-03,1.08262,1.11466,1.08046,1.10505
2025-04-02,1.07929,1.09243,1.07800,1.08264
2025-04-01,1.08181,1.08301,1.07779,1.07929
2025-03-31,1.08144,1.08494,1.07837,1.08184
2025-03-28,1.07971,1.08448,1.07644,1.08237
2025-03-27,1.07365,1.08212,1.07327,1.07974
2025-03-26,1.07921,1.08030,1.07342,1.07362
2025-03-25,1.07991,1.08301,1.07765,1.07908
2025-03-24,1.08168,1.08582,1.07813,1.07995
2025-03-21,1.08535,1.08613,1.07962,1.08121
2025-03-20,1.09045,1.09173,1.08143,1.08539
2025-03-19,1.09436,1.09460,1.08603,1.09033
2025-03-18,1.09214,1.09547,1.08921,1.09442
2025-03-17,1.08800,1.09297,1.08680,1.09212
2025-03-14,1.08515,1.09127,1.08304,1.08765
2025-03-13,1.08856,1.08972,1.08222,1.08510
2025-03-12,1.09111,1.09314,1.08754,1.08857
2025-03-11,1.08345,1.09472,1.08305,1.09110
2025-03-10,1.08392,1.08747,1.08048,1.08340
2025-03-07,1.07820,1.08888,1.07768,1.08300
2025-03-06,1.07864,1.08537,1.07655,1.07818
2025-03-05,1.06249,1.07968,1.06017,1.07875
2025-03-04,1.04849,1.06275,1.04708,1.06253
2025-03-03,1.04027,1.05036,1.03883,1.04857
2025-02-28,1.03966,1.04200,1.03596,1.03747
2025-02-27,1.04834,1.04924,1.03965,1.03973
2025-02-26,1.05124,1.05289,1.04747,1.04836
2025-02-25,1.04664,1.05193,1.04559,1.05121
2025-02-24,1.04768,1.05283,1.04524,1.04671
2025-02-21,1.05001,1.05054,1.04490,1.04559
2025-02-20,1.04217,1.05034,1.04183,1.05002
2025-02-19,1.04450,1.04613,1.04004,1.04222
2025-02-18,1.04833,1.04863,1.04348,1.04459
2025-02-17,1.04858,1.05062,1.04667,1.04840
2025-02-14,1.04625,1.05141,1.04469,1.04913
2025-02-13,1.03818,1.04670,1.03726,1.04641
2025-02-12,1.03605,1.04299,1.03168,1.03824
2025-02-11,1.03062,1.03815,1.02917,1.03604
2025-02-10,1.02886,1.03365,1.02808,1.03063
2025-02-07,1.03821,1.04124,1.03048,1.03260
2025-02-06,1.04019,1.04058,1.03521,1.03828
2025-02-05,1.03780,1.04425,1.03693,1.04021
2025-02-04,1.03427,1.03876,1.02720,1.03783
2025-02-03,1.02320,1.03499,1.02103,1.03430
2025-01-31,1.03879,1.04340,1.03496,1.03602
2025-01-30,1.04203,1.04679,1.03859,1.03875
2025-01-29,1.04296,1.04436,1.03821,1.04207
2025-01-28,1.04912,1.04932,1.04135,1.04298
2025-01-27,1.04790,1.05334,1.04536,1.04916
2025-01-24,1.04147,1.05214,1.04112,1.04919
2025-01-23,1.04080,1.04380,1.03717,1.04148
2025-01-22,1.04285,1.04573,1.03918,1.04077
2025-01-21,1.04156,1.04343,1.03518,1.03876
2025-01-20,1.02831,1.04342,1.02659,1.04155
2025-01-17,1.02965,1.03306,1.02650,1.02710
2025-01-16,1.02880,1.03151,1.02604,1.02990
2025-01-15,1.03074,1.03544,1.02588,1.02861
2025-01-14,1.02407,1.03086,1.02382,1.03076
2025-01-13,1.02402,1.02500,1.01772,1.02441
2025-01-10,1.02990,1.03118,1.02124,1.02440
2025-01-09,1.03177,1.03215,1.02834,1.02990
2025-01-08,1.03398,1.03575,1.02728,1.03178
2025-01-07,1.03884,1.04344,1.03390,1.03394
2025-01-06,1.03020,1.04368,1.02940,1.03898
